,benchmark,target,total_iterations,threads,rounds,smokers,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,actors,pings,num_workers,block_size,max_edge_weight,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,eating_rounds,philosophers,workers,data_length,block_threshold,priorities,precision,messages,pieces,left,right,terms,series,start_rate,accounts,transactions,data_size,max_value,seed,size,threshold,solution_limit,messages_per_worker,write_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,grid_size,size_percentage,columns,simulations,channels
107,Big,lf-c,12,18,,,NP,232.027,240.254,237.81150000000002,237.57608333333334,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
108,Concurrent Sorted Linked List,lf-c,12,4,,,GEDF_NP,204.235,258.778,225.2615,228.48108333333334,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
109,Recursive Matrix Multiplication,lf-c,12,18,,,adaptive,90.306,100.042,91.6235,92.79241666666667,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Radix Sort,lf-c,12,9,,,adaptive,515.75,516.711,516.0985000000001,516.1498333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
111,Trapezoidal Approximation,lf-c,12,4,,,GEDF_NP,68.839,69.714,69.04650000000001,69.13425000000001,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
112,Thread Ring,lf-c,12,9,,,GEDF_NP,140.253,141.017,140.308,140.40316666666666,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Logistic Map Series,lf-c,12,9,,,NP,504.57,648.62,530.2950000000001,556.7938333333333,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
114,All-Pairs Shortest Path,lf-c,12,2,,,GEDF_NP,135.592,142.974,136.549,137.49633333333333,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Ping Pong,lf-c,12,4,,,adaptive,106.802,107.549,106.845,106.90358333333334,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Concurrent Dictionary,lf-c,12,4,,,NP,217.179,236.383,231.0895,230.19758333333334,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
117,Logistic Map Series,lf-c,12,4,,,NP,308.686,436.421,379.77599999999995,378.52399999999994,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
